"Millis","P1","P2"
46096,717,658
46198,717,663
46298,717,676
46399,717,672
46501,717,663
46602,717,653
46703,717,654
46805,717,657
46905,717,657
47007,717,657
47108,717,657
47209,717,657
47311,717,657
47412,717,657
47512,717,657
47614,717,657
47715,717,657
47817,717,657
47918,717,657
48019,717,657
48120,717,657
48221,717,657
48322,717,657
48424,717,657
48525,717,657
48627,717,657
48727,717,657
48828,717,657
48930,717,657
49031,717,657
49132,717,657
49233,717,657
49334,717,657
49436,717,657
49537,717,656
49638,717,656
49740,717,656
49840,717,657
49941,717,661
50043,717,678
50144,717,685
50245,717,677
50347,717,661
50447,717,656
50549,717,657
50650,717,656
50751,717,654
50853,717,654
50954,717,654
51054,717,654
51156,717,654
51257,717,654
51359,717,654
51460,717,654
51561,717,654
51662,717,654
51763,717,654
51864,717,654
51966,717,654
52067,717,654
52169,717,654
52269,717,654
52370,717,654
52472,717,654
52573,717,654
52674,717,654
52775,717,654
52876,717,654
52978,717,654
53079,717,654
53180,717,654
53282,717,654
53382,717,654
53483,717,654
53585,717,654
53686,717,654
53788,717,654
53889,717,654
53989,717,672
54091,717,682
54192,717,655
54293,717,646
54395,717,648
54496,717,649
54596,717,649
54698,717,649
54799,717,649
54901,717,649
55002,717,649
55103,717,649
55204,717,649
55305,717,649
55406,717,649
55508,717,649
55609,717,649
55710,717,649
55811,717,649
55912,717,649
56014,717,649
56115,717,649
56216,717,649
56317,717,649
56418,717,649
56520,717,649
56621,717,649
56722,717,649
56824,717,649
56924,717,649
57025,717,649
57127,717,649
57228,717,649
57330,717,649
57431,717,649
57531,717,658
57633,717,678
57734,717,678
57835,717,650
57937,717,638
58037,717,644
58138,717,644
58240,717,644
58341,717,644
58443,717,644
58544,717,644
58644,717,644
58746,717,644
58847,717,644
58948,717,644
59050,717,644
59151,717,644
59252,717,644
59353,717,644
59454,717,644
59556,717,644
59657,717,644
59758,717,644
59859,717,644
59960,717,644
60062,717,644
60163,717,644
60264,717,644
60366,717,644
60466,717,644
60567,717,644
60669,717,644
60770,717,644
60872,717,644
60972,717,644
61073,717,644
61175,717,646
61276,717,667
61377,717,692
61479,717,681
61579,717,658
61680,717,642
61782,717,641
61883,717,642
61985,717,642
62086,717,642
62186,717,642
62288,717,642
62389,717,642
62490,717,642
62592,717,642
62693,717,642
62794,717,642
62895,717,642
62996,717,642
63098,717,642
63199,717,642
63299,717,642
63401,717,642
63502,717,642
63604,717,642
63705,717,642
63806,717,641
63907,717,641
64008,717,642
64109,717,642
64211,717,641
64312,717,641
64414,717,641
64514,717,641
64615,717,641
64717,717,642
64818,717,643
64919,717,666
65021,717,695
65121,717,687
65223,717,662
65324,717,643
65425,717,658
65527,717,664
65627,717,646
65728,717,642
65830,717,642
65931,717,641
66032,717,642
66134,717,646
66234,717,652
66336,717,650
66437,717,652
66538,717,650
66640,717,646
66741,717,639
66841,717,636
66943,717,637
67044,717,637
67146,717,637
67247,717,637
67347,717,637
67449,717,637
67550,717,637
67651,717,637
67753,717,637
67854,717,637
67955,717,637
68056,717,637
68157,717,637
68259,717,637
68360,717,637
68461,717,637
68562,717,637
68663,717,637
68765,717,637
68866,717,636
68967,717,636
69068,717,637
69169,717,637
69270,717,637
69372,717,636
69473,717,636
69575,717,636
69675,717,637
69776,717,637
69878,717,636
69979,717,636
70080,717,636
70182,717,636
70282,717,636
70383,717,636
70485,717,636
70586,717,636
70688,717,638
70788,717,661
70889,717,689
70991,717,664
71092,717,635
71193,717,633
71295,717,633
71395,717,633
71497,717,633
71598,717,633
71699,717,633
71801,717,633
71901,717,633
72002,717,633
72104,717,633
72205,717,633
72307,717,633
72408,717,633
72508,717,633
72610,717,633
72711,717,633
72812,717,633
72914,717,633
73015,717,633
73116,717,632
73217,717,632
73318,717,632
73420,717,632
73521,717,632
73621,717,632
73723,717,633
73824,717,633
73925,717,633
74027,717,632
74128,717,633
74229,717,632
74330,717,632
74431,717,632
74533,717,645
74634,717,675
74735,717,687
74836,717,671
74937,717,634
75039,717,628
75140,717,630
75241,717,630
75342,717,630
75443,717,630
75544,717,630
75646,717,630
75747,717,630
75849,717,630
75949,717,630
76050,717,629
76152,717,629
76253,717,630
76354,717,630
76455,717,629
76556,717,630
76658,717,630
76759,717,630
76860,717,629
76962,717,629
77062,717,629
77163,717,629
77265,717,629
77366,717,629
77468,717,630
77568,717,629
77669,717,629
77771,717,629
77872,717,629
77973,717,629
78075,717,629
78175,717,629
78276,717,629
78378,717,629
78479,717,629
78581,717,632
78682,717,645
78782,717,641
78884,717,627
78985,717,625
79086,717,627
79188,717,627
79288,717,627
79390,717,627
79491,717,627
79592,717,627
79694,717,627
79795,717,627
79895,717,627
79997,717,627
80098,717,627
80200,717,627
80301,717,627
80401,717,627
80503,717,627
80604,717,627
80705,717,627
80807,717,627
80908,717,627
81008,717,627
81110,717,627
81211,717,627
81313,717,627
81414,717,627
81514,717,627
81616,717,627
81717,717,627
81818,717,627
81920,717,627
82021,717,627
82122,717,627
82223,717,627
82324,717,627
82426,717,627
82527,717,627
82628,717,627
82729,717,627
82830,717,627
82932,717,627
83033,717,627
83134,717,627
83235,717,627
83336,717,627
83437,717,627
83539,717,627
83640,717,627
83742,717,627
83842,717,627
83943,717,627
84045,717,627
84146,717,627
84247,717,627
84349,717,627
84449,717,627
84551,717,627
84652,717,627
84753,717,627
84855,717,627
84955,717,627
85056,717,627
85158,717,627
85259,717,627
85360,717,627
85462,717,627
85562,717,627
85664,717,627
85765,717,627
85866,717,627
85968,717,627
86068,717,627
86169,717,627
86271,717,627
86372,717,627
86474,717,627
86575,717,627
86675,717,627
86777,717,627
86878,717,627
86979,717,627
87081,717,627
87182,717,627
87283,717,627
87384,717,627
87485,717,627
87587,717,627
87688,717,627
87788,717,627
87890,717,627
87991,717,627
88093,717,627
88194,717,627
88295,717,626
88396,717,627
88497,717,626
88598,717,627
88700,717,627
88801,717,627
88903,717,627
89003,717,627
89104,717,626
89206,717,626
89307,717,626
89408,717,626
89509,717,627
89610,717,626
89711,717,626
89813,717,627
89914,717,626
90016,717,626
90116,717,626
90217,717,626
90319,717,626
90420,717,626
90521,717,627
90623,717,626
90723,717,626
90825,717,626
90926,717,627
91027,717,627
91129,717,626
91229,717,626
91330,717,626
91432,717,626
91533,717,626
91635,717,626
91736,717,626
91836,717,626
91938,717,626
92039,717,626
92140,717,626
92242,717,626
92343,717,626
92444,717,626
92545,717,626
92646,717,626
92748,717,626
92849,717,626
92950,717,626
93051,717,626
93152,717,626
93253,717,626
93355,717,626
93456,717,626
93557,717,626
93658,717,626
93759,717,626
93861,717,626
93962,717,626
94063,717,628
94164,717,632
94265,717,639
94367,717,650
94468,717,646
94569,717,627
94671,717,589
94771,717,552
94872,717,520
94974,717,481
95075,717,419
95177,717,360
95277,717,273
95378,717,159
95480,717,62
95581,717,10
95682,717,0
95784,717,0
95884,717,0
95986,717,0
96087,717,0
96188,717,0
96290,717,0
96391,717,0
96491,717,0
96593,717,0
96694,717,0
96796,717,0
96897,717,2
96997,717,16
97099,717,24
97200,717,75
97301,717,145
97403,717,227
97504,717,389
97604,717,551
97706,717,637
97807,717,651
97909,717,651
98010,717,651
98111,717,651
98212,717,651
98313,717,651
98414,717,651
98516,719,651
98617,718,651
98718,717,651
98819,717,651
98920,717,651
99022,717,651
99123,717,651
99224,717,651
99325,717,651
99426,717,651
99528,717,651
99629,717,651
99730,717,651
99832,717,651
99932,717,651
100033,717,651
100135,717,651
100236,717,651
100338,717,651
100438,717,651
100539,717,651
100641,717,651
100742,717,651
100843,717,651
100945,717,651
101045,717,651
101146,717,651
101267,717,651
101349,717,651
101451,717,651
