"Millis","P1","P2"
46163,661,711
46265,661,700
46366,661,687
46467,661,689
46568,661,700
46669,670,706
46771,668,706
46871,657,706
46972,657,706
47074,657,706
47174,660,706
47275,662,706
47377,661,706
47478,661,706
47578,661,706
47680,665,706
47781,667,706
47882,658,706
47983,657,706
48084,657,706
48186,657,706
48286,657,706
48387,657,706
48489,657,706
48589,657,706
48691,657,707
48792,657,706
48892,657,706
48994,657,706
49095,657,706
49196,657,706
49297,657,706
49398,657,707
49499,657,706
49600,657,706
49701,662,706
49803,672,706
49904,661,706
50004,653,707
50106,653,706
50207,653,706
50307,653,706
50409,653,707
50510,653,710
50611,653,708
50712,653,706
50813,653,696
50915,653,694
51015,653,701
51116,653,702
51218,653,702
51318,653,702
51419,653,702
51521,653,702
51622,653,702
51723,653,702
51824,653,702
51925,667,702
52026,706,702
52127,680,702
52228,652,702
52329,650,702
52430,650,702
52532,650,702
52633,650,702
52733,650,703
52835,650,702
52936,650,702
53036,650,702
53138,650,702
53239,650,702
53339,650,702
53441,650,702
53542,650,702
53644,650,702
53744,650,702
53845,650,702
53947,650,702
54047,652,702
54148,656,702
54250,670,702
54350,655,702
54452,646,702
54553,647,702
54654,647,702
54755,647,702
54856,647,702
54957,647,702
55058,647,702
55159,647,702
55260,647,702
55361,647,702
55462,647,702
55564,647,702
55665,647,702
55765,647,702
55867,647,702
55968,647,702
56068,647,702
56170,647,702
56271,647,702
56372,647,702
56473,647,702
56574,647,702
56676,649,702
56776,668,702
56877,670,702
56979,648,702
57079,643,702
57180,643,702
57282,643,702
57382,643,702
57484,643,702
57585,643,702
57686,643,702
57787,643,702
57888,643,702
57989,643,702
58090,643,702
58191,643,702
58293,643,702
58393,643,702
58494,643,702
58596,643,702
58697,643,702
58797,643,704
58899,643,713
59000,643,712
59100,643,719
59202,643,718
59303,643,697
59404,643,695
59505,643,698
59606,643,699
59708,643,699
59808,643,699
59909,643,699
60011,643,699
60111,643,699
60213,643,699
60314,643,699
60414,643,699
60516,643,699
60617,643,698
60718,643,699
60819,643,699
60920,643,699
61022,643,699
61122,643,699
61223,643,699
61325,643,699
61425,643,699
61526,643,699
61628,643,699
61729,643,699
61829,643,699
61931,643,699
62032,643,699
62133,643,699
62234,643,702
62335,643,704
62436,643,692
62537,643,693
62638,643,695
62740,643,695
62840,643,695
62942,643,695
63043,643,695
63143,643,695
63245,643,695
63346,643,695
63446,643,695
63548,642,695
63649,637,695
63749,640,695
63851,641,695
63952,643,695
64054,643,695
64154,643,695
64255,645,695
64357,639,695
64457,621,695
64558,570,695
64660,360,695
64760,108,695
64862,9,695
64963,0,695
65064,0,695
65165,0,695
65266,0,695
65367,0,695
65468,0,695
65569,0,695
65670,0,695
65771,0,695
65872,0,695
65974,3,695
66074,24,695
66175,43,695
66277,87,695
66378,167,695
66478,408,695
66580,622,695
66681,687,695
66782,695,695
66883,694,695
66984,692,695
67085,691,695
67186,691,695
67287,690,695
67388,690,695
67489,690,695
67590,690,695
67692,690,695
67792,690,695
67894,691,695
67995,693,695
68095,692,695
68197,692,695
68298,694,695
68398,693,695
68500,693,696
68601,692,704
68702,692,701
68803,692,695
68904,691,695
69006,691,695
69106,692,698
69207,693,700
69309,692,695
69409,692,692
69510,692,691
69612,691,691
69712,691,691
69814,692,691
69915,692,691
70015,692,692
70117,692,691
70218,692,691
70319,691,691
70420,691,691
70521,691,691
70623,691,691
70723,691,691
70824,691,691
70926,691,691
71026,690,691
71127,690,691
71229,690,691
71329,690,691
71430,690,691
71532,691,691
71633,694,691
71734,691,691
71835,690,691
71936,690,691
72037,690,691
72138,690,691
72239,690,691
72340,689,691
72441,689,691
72543,689,691
72643,689,691
72744,689,691
72846,689,691
72946,689,691
73047,689,691
73149,689,691
73250,691,691
73350,701,691
73452,709,691
73553,699,692
73654,690,692
73755,689,692
73856,691,691
73957,693,691
74058,695,692
74159,694,692
74260,690,691
74361,688,691
74463,688,691
74564,687,691
74664,687,692
74766,687,694
74867,687,682
74967,687,682
75069,687,687
75170,687,687
75270,687,687
75372,687,687
75473,687,687
75574,686,687
75675,686,687
75776,686,687
75877,686,687
75978,686,687
76079,686,687
76181,686,687
76281,686,687
76383,686,687
76484,686,687
76584,686,687
76686,686,687
76787,686,687
76887,686,687
76989,686,688
77090,686,690
77190,687,705
77292,690,695
77393,707,682
77495,727,684
77595,717,684
77696,703,684
77798,689,684
77898,685,684
77999,685,684
78101,685,684
78201,685,684
78303,685,684
78404,685,684
78504,685,684
78606,685,684
78707,685,684
78807,684,684
78909,684,684
79010,684,684
79111,684,684
79212,684,684
79313,684,684
79415,684,684
79515,684,684
79616,684,684
79718,684,684
79818,684,684
79919,684,684
80021,684,684
80121,684,684
80223,687,684
80324,696,684
80424,703,684
80526,710,684
80627,718,684
80728,711,684
80829,704,684
80930,696,684
81031,685,684
81132,682,684
81233,681,684
81335,681,684
81435,681,684
81536,681,684
81638,681,684
81738,681,684
81839,680,684
81941,680,684
82041,680,684
82143,680,684
82244,680,685
82345,680,694
82446,680,690
82547,680,679
82648,680,679
82749,680,680
82850,680,680
82951,680,680
83052,680,680
83153,680,680
83255,681,680
83355,692,680
83456,714,680
83558,734,680
83658,728,680
83759,712,680
83861,691,680
83962,678,680
84063,676,680
84164,676,680
84265,676,680
84366,676,680
84467,676,680
84568,676,680
84669,676,680
84770,675,680
84871,675,680
84972,675,681
85073,675,685
85175,675,682
85275,675,678
85376,675,676
85478,675,676
85579,675,676
85679,675,677
85781,675,677
85882,675,676
85983,675,677
86084,675,677
86185,676,676
86286,688,676
86387,719,676
