Millis;P1;P2 

1;0;0;
87;0;0;
184;0;0;
282;0;0;
380;0;0;
478;0;0;
576;0;0;
673;0;0;
774;0;0;
875;0;0;
976;0;0;
1077;0;0;
1178;0;0;
1280;0;0;
1380;0;0;
1481;0;0;
1583;0;0;
1684;0;0;
1786;0;0;
1886;0;9;
1987;0;44;
2089;0;57;
2190;0;45;
2291;0;59;
2392;0;50;
2493;0;37;
2594;0;31;
2696;0;29;
2797;0;29;
2898;0;42;
2999;0;56;
3100;0;96;
3202;0;158;
3303;0;236;
3403;0;342;
3505;0;448;
3606;0;552;
3708;0;703;
3808;0;726;
3909;0;737;
4011;0;744;
4112;0;744;
4213;0;745;
4314;0;745;
4415;0;744;
4517;0;744;
4618;0;744;
4719;0;744;
4820;0;744;
4921;0;744;
5022;0;744;
5124;0;744;
5225;0;744;
5326;2;744;
5427;14;744;
5528;37;744;
5630;105;744;
5730;237;744;
5831;419;744;
5933;605;744;
6034;703;744;
6135;721;744;
6236;722;744;
6337;722;744;
6439;722;744;
6540;722;744;
6641;722;744;
6742;722;744;
6843;722;744;
6944;722;744;
7046;722;744;
7147;722;744;
7248;722;744;
7349;722;744;
7450;722;744;
7552;722;744;
7652;722;744;
7753;722;744;
7855;722;744;
7956;722;744;
8058;722;744;
8158;722;744;
8259;722;744;
8361;722;744;
8462;722;744;
8563;722;744;
8664;722;744;
8765;722;744;
8866;722;744;
8968;722;744;
9068;722;744;
9170;722;744;
9271;722;744;
9372;722;744;
9474;722;744;
9574;722;744;
9675;722;744;
9777;722;744;
9878;722;744;
9980;722;744;
10080;722;744;
10181;722;744;
10283;722;744;
10384;722;745;
10484;722;744;
10586;722;744;
10687;722;744;
10789;722;744;
10890;722;744;
10990;722;744;
11092;722;744;
11193;722;744;
11294;722;744;
11396;722;744;
11496;722;744;
11598;722;744;
11699;722;744;
11800;722;744;
11901;722;744;
12002;722;744;
12103;722;744;
12205;722;744;
12306;722;744;
12406;722;744;
12508;722;744;
12609;722;744;
12711;722;744;
12811;722;744;
12912;722;745;
13014;722;744;
13115;722;744;
13216;722;744;
13317;722;744;
13418;722;744;
13520;722;744;
13621;722;745;
13722;722;745;
13823;722;744;
13924;722;744;
14025;722;744;
14127;722;744;
14227;722;744;
14329;722;744;
14430;722;747;
14531;722;759;
14633;722;763;
14733;722;746;
14834;722;740;
14936;722;740;
15037;722;740;
15137;722;740;
15239;723;740;
15340;734;740;
15442;762;740;
15543;774;740;
15643;771;740;
15745;743;740;
15846;720;740;
15947;718;740;
16048;718;740;
16149;718;740;
16251;718;740;
16352;718;740;
16453;718;740;
16554;718;740;
16655;718;740;
16756;718;740;
16858;718;740;
16959;718;740;
17060;718;740;
17161;718;740;
17262;718;740;
17364;718;740;
17464;718;740;
17565;718;740;
17667;718;740;
17768;718;740;
17870;718;740;
17970;718;740;
18071;718;741;
18173;718;741;
18274;718;741;
18374;718;749;
18476;718;760;
18577;718;743;
18678;718;736;
18780;718;736;
18880;718;736;
18982;721;736;
19083;732;736;
19184;730;736;
19285;717;736;
19386;714;736;
19487;714;736;
19589;714;736;
19690;714;736;
19791;714;736;
19892;714;736;
19993;714;736;
20095;714;736;
20195;714;736;
20296;714;736;
20398;714;736;
20499;714;736;
20601;714;736;
20701;714;736;
20802;714;736;
20904;714;736;
21005;714;736;
21105;714;736;
21207;714;736;
21308;714;736;
21409;714;736;
21511;714;736;
21611;714;736;
21713;714;736;
21814;714;736;
21915;714;738;
22016;714;743;
22117;714;742;
22218;714;741;
22320;714;760;
22421;714;794;
22522;714;810;
22623;714;772;
22724;714;735;
22826;714;732;
