"Millis","P1","P2"
46207,692,724
46308,692,724
46409,692,725
46510,692,727
46611,691,729
46713,692,724
46814,692,720
46916,692,724
47016,692,723
47117,692,721
47219,692,721
47320,692,721
47421,692,721
47523,692,721
47624,692,721
47724,692,721
47826,691,721
47927,692,721
48029,692,721
48130,692,721
48231,707,721
48333,726,721
48433,730,721
48534,727,721
48636,702,721
48737,689,721
48839,688,721
48940,688,721
49041,689,721
49142,688,721
49243,689,721
49344,689,721
49446,688,721
49547,689,721
49649,689,721
49750,688,721
49850,688,721
49952,689,721
50053,689,721
50154,689,721
50256,688,721
50357,689,721
50459,689,721
50559,689,721
50660,689,721
50762,688,721
50863,688,721
50964,688,721
51066,688,721
51167,688,721
51268,688,721
51369,688,721
51470,688,721
51572,688,721
51673,689,721
51774,689,721
51876,688,721
51976,689,721
52077,712,721
52179,767,721
52280,759,721
52382,722,721
52483,687,721
52584,683,721
52685,684,721
52786,684,721
52887,684,721
52989,684,721
53090,684,721
53192,684,721
53293,684,721
53393,684,720
53495,684,721
53596,684,721
53697,684,721
53799,684,722
53900,684,733
54002,684,746
54102,684,753
54203,684,760
54305,684,760
54406,684,730
54507,684,718
54609,684,717
54710,684,717
54811,684,717
54912,684,717
55013,684,717
55115,684,717
55216,684,717
55317,684,717
55419,684,717
55519,684,717
55621,684,717
55722,684,717
55823,684,717
55925,684,717
56026,684,717
56127,684,717
56228,684,717
56329,685,717
56431,709,717
56532,729,717
56633,693,717
56735,681,717
56836,680,717
56936,680,717
57038,680,717
57139,680,717
57241,680,717
57342,680,717
57443,680,717
57544,680,717
57645,680,717
57746,680,717
57848,680,717
57949,681,717
58050,681,717
58152,681,717
58252,680,717
58354,680,717
58455,680,717
58556,680,717
58658,680,717
58759,680,717
58860,680,717
58961,680,717
59062,680,717
59164,680,717
59265,680,717
59366,680,717
59468,680,717
59569,680,717
59669,680,717
59771,680,717
59872,680,717
59974,680,717
60075,680,717
60176,680,717
60278,680,717
60378,680,717
60479,680,717
60581,680,717
60682,680,717
60784,680,717
60885,680,717
60986,680,717
61087,680,717
61188,680,717
61289,681,717
61391,705,717
61492,737,717
61594,702,717
61695,717,717
61795,708,717
61897,679,717
61998,676,717
62099,676,717
62201,676,717
62302,677,717
62404,676,717
62504,676,717
62605,676,717
62707,677,717
62808,676,717
62909,676,717
63011,676,717
63111,676,717
63212,676,717
63314,676,717
63415,677,717
63517,677,717
63618,677,717
63719,676,717
63820,676,717
63921,676,717
64022,676,717
64124,676,717
64225,676,717
64327,676,717
64428,677,717
64528,677,717
64630,676,719
64731,676,723
64832,677,719
64934,677,717
65035,677,717
65137,676,717
65237,677,717
65338,685,718
65440,700,725
65541,684,735
65642,677,743
65744,682,733
65845,697,714
65946,722,707
66047,717,713
66148,705,713
66250,679,713
66351,673,713
66452,673,713
66554,673,713
66654,673,713
66756,673,713
66857,673,713
66958,673,713
67060,673,713
67161,673,713
67261,673,713
67363,673,713
67464,673,713
67565,673,713
67667,673,713
67768,673,713
67870,673,713
67970,673,713
68071,673,713
68173,673,713
68274,673,713
68375,673,713
68477,673,713
68578,673,713
68679,673,713
68780,673,713
